"asn","tg_op"
19037,"AR05"
11664,"AR05"
11315,"NULL"
10834,"AR04"
7303,"AR03"
38657,"AU06"
9443,"AU05"
7545,"AU08"
7474,"AU06"
4804,"AU06"
4802,"AU02"
4739,"AU02"
2764,"AU02"
1221,"AU07"
1257,"AT01"
1901,"AT02"
6830,"AT03"
8412,"NULL"
8437,"AT01"
8447,"AT02"
12635,"NULL"
12793,"AT02"
16305,"NULL"
25255,"NULL"
8514,"AT03"
24389,"NULL"
38721,"NULL"
45245,"NULL"
45588,"BD01"
45904,"BD02"
25106,"NULL"
42772,"NULL"
44087,"NULL"
6697,"BY02"
29005,"BE01"
34762,"NULL"
44944,"BE03"
47377,"BE02"
12493,"BE02"
6848,"BE04"
5432,"BE01"
25144,"BA04"
21107,"BA01"
20875,"BA03"
9146,"BA02"
7162,"NULL"
7738,"BR01"
8167,"BR01"
10429,"BR06"
11706,"BR06"
15180,"NULL"
16735,"BR02"
18881,"BR03"
19182,"BR06"
22085,"BR05"
22689,"NULL"
26599,"NULL"
26615,"NULL"
27699,"BR06"
28573,"BR05"
53006,"BR02"
19090,"BR05"
42735,"BG02"
13124,"BG01"
12716,"BG03"
8866,"BG05"
26230,"NULL"
35911,"CA01"
36522,"NULL"
36676,"NULL"
174,"NULL"
20453,"CA05"
15290,"CA04"
14663,"NULL"
14366,"CA07"
11489,"CA02"
11290,"CA03"
7992,"CA03"
7788,"NULL"
7122,"CA04"
6539,"CA02"
6327,"CA07"
5769,"CA09"
3602,"CA05"
855,"CA01"
852,"CA08"
812,"CA05"
803,"CA06"
577,"CA02"
32580,"NULL"
684,"CA04"
21548,"NULL"
27680,"NULL"
27925,"NULL"
27995,"NULL"
22047,"CL05"
15311,"CL03"
14259,"CL02"
14117,"CL02"
7418,"CL03"
6535,"CL06"
6471,"NULL"
6429,"CL06"
23650,"CN02"
23724,"CN02"
56046,"NULL"
17897,"CN02"
17816,"CN04"
17633,"CN02"
17622,"CN04"
17621,"CN04"
9808,"NULL"
9394,"CN03"
4847,"NULL"
4837,"CN04"
4813,"CN02"
4812,"CN02"
4808,"CN04"
4134,"CN02"
26611,"NULL"
27831,"NULL"
27921,"NULL"
19429,"CO01"
14080,"CO03"
13489,"CO04"
10620,"CO03"
3816,"CO02"
8065,"CO04"
20299,"CR01"
11830,"NULL"
3790,"CR02"
31012,"HR05"
34594,"HR03"
35648,"HR04"
13046,"HR04"
12810,"NULL"
5391,"HR04"
16229,"CY02"
15805,"NULL"
6866,"CY01"
5425,"CY02"
2819,"CZ01"
5610,"CZ02"
6830,"CZ04"
12767,"NULL"
13036,"CZ05"
28725,"CZ02"
29113,"CZ04"
29208,"CZ03"
197288,"DK04"
29542,"NULL"
39554,"DK01"
44034,"NULL"
9158,"DK02"
6785,"DK02"
3308,"DK03"
3292,"DK01"
28118,"NULL"
12066,"NULL"
6400,"DO01"
24863,"EG01"
36992,"NULL"
37069,"NULL"
15475,"NULL"
8452,"EG02"
20858,"NULL"
13272,"EE02"
3249,"EE01"
2586,"NULL"
1257,"NULL"
16014,"NULL"
16086,"FI01"
15527,"FI03"
12582,"FI05"
3336,"FI02"
1759,"FI05"
790,"FI02"
719,"FI02"
5515,"FI05"
3215,"FR02"
5410,"FR01"
6678,"FR05"
8228,"FR06"
9003,"FR05"
12322,"FR03"
12626,"FR06"
12670,"FR05"
12844,"NULL"
15557,"FR06"
21502,"FR05"
25186,"FR02"
28708,"FR02"
3209,"DE01"
3320,"DE02"
5430,"DE11"
6805,"DE10"
8881,"DE13"
12638,"NULL"
13184,"DE10"
15709,"DE01"
20825,"DE12"
29562,"DE12"
31334,"DE01"
39706,"DE10"
44178,"DE02"
25472,"GR03"
29247,"NULL"
6983,"NULL"
34248,"NULL"
12361,"NULL"
6866,"GR05"
6799,"GR02"
3329,"GR04"
1241,"GR01"
38819,"NULL"
17924,"NULL"
17444,"NULL"
10118,"HK02"
9925,"HK04"
9908,"HK03"
9444,"HK04"
9304,"HK02"
9269,"HK01"
9231,"NULL"
4760,"HK04"
4515,"HK04"
34588,"HU03"
197248,"NULL"
21334,"NULL"
20845,"HU06"
12301,"HU03"
8448,"NULL"
8358,"HU02"
6830,"HU05"
5513,"NULL"
5483,"HU04"
3340,"HU02"
8696,"HU03"
12969,"IS02"
4755,"IN06"
9498,"IN02"
9583,"NULL"
9829,"IN01"
10199,"IN06"
10201,"NULL"
17762,"IN09"
17803,"NULL"
