asn,tg_op,size
19037,AR05,1146368
11664,AR05,594432
11315,NULL,311040
10834,AR04,387328
7303,AR03,3910656
38657,AU06,131072
9443,AU05,1018880
7545,AU08,2003968
7474,AU06,978432
4804,AU06,5303552
4802,AU02,192512
4739,AU02,1774080
2764,AU02,852480
1221,AU07,13659260
1257,AT01,5048064
1901,AT02,573440
6830,AT03,11363072
8412,NULL,205824
8437,AT01,405248
8447,AT02,2260992
12635,NULL,0
12793,AT02,73984
16305,NULL,10240
25255,NULL,729088
8514,AT03,0
24389,NULL,23040
38721,NULL,0
45245,NULL,5120
45588,BD01,28160
45904,BD02,41728
25106,NULL,229632
42772,NULL,120832
44087,NULL,111616
6697,BY02,1069312
29005,BE01,0
34762,NULL,80896
44944,BE03,136192
47377,BE02,890368
12493,BE02,0
6848,BE04,2102784
5432,BE01,3926528
25144,BA04,123392
21107,BA01,33024
20875,BA03,72704
9146,BA02,172800
7162,NULL,270080
7738,BR01,7709696
8167,BR01,4461568
10429,BR06,1523968
11706,BR06,8704
15180,NULL,249856
16735,BR02,462848
18881,BR03,4562944
19182,BR06,245760
22085,BR05,1586944
22689,NULL,160768
26599,NULL,12027904
26615,NULL,9609216
27699,BR06,4623360
28573,BR05,9149184
53006,BR02,589824
19090,BR05,0
42735,BG02,9984
13124,BG01,408576
12716,BG03,31232
8866,BG05,677377
26230,NULL,0
35911,CA01,140032
36522,NULL,276944
36676,NULL,0
174,NULL,28356096
20453,CA05,72704
15290,CA04,683008
14663,NULL,188416
14366,CA07,73728
11489,CA02,308736
11290,CA03,255232
7992,CA03,784640
7788,NULL,0
7122,CA04,514816
6539,CA02,269824
6327,CA07,5424384
5769,CA09,2640128
3602,CA05,331008
855,CA01,1153280
852,CA08,5020672
812,CA05,4137472
803,CA06,594184
577,CA02,5943074
32580,NULL,0
684,CA04,2304
21548,NULL,33280
27680,NULL,431616
27925,NULL,333824
27995,NULL,140288
22047,CL05,1378816
15311,CL03,144896
14259,CL02,399360
14117,CL02,484864
7418,CL03,2491136
6535,CL06,838656
6471,NULL,508672
6429,CL06,164608
23650,CN02,401408
23724,CN02,3302656
56046,NULL,2574848
17897,CN02,165888
17816,CN04,4585472
17633,CN02,8192
17622,CN04,813824
17621,CN04,978432
9808,NULL,35632128
9394,CN03,20376320
4847,NULL,7068928
4837,CN04,57481472
4813,CN02,46080
4812,CN02,8684544
4808,CN04,6514944
4134,CN02,114074368
26611,NULL,4517888
27831,NULL,1822720
27921,NULL,18688
19429,CO01,887552
14080,CO03,999424
13489,CO04,3055616
10620,CO03,2004224
3816,CO02,2098688
8065,CO04,0
20299,CR01,118016
11830,NULL,1516288
3790,CR02,156928
31012,HR05,163840
34594,HR03,93184
35648,HR04,0
13046,HR04,139264
12810,NULL,132864
5391,HR04,1122304
16229,CY02,58624
15805,NULL,50944
6866,CY01,793856
5425,CY02,13312
2819,CZ01,0
5610,CZ02,1587456
6830,CZ04,11363072
12767,NULL,68608
13036,CZ05,319488
28725,CZ02,141568
29113,CZ04,0
29208,CZ03,263424
197288,DK04,262144
29542,NULL,0
39554,DK01,147456
44034,NULL,1007616
9158,DK02,2316544
6785,DK02,0
3308,DK03,271104
3292,DK01,6910720
28118,NULL,338432
12066,NULL,319488
6400,DO01,832256
24863,EG01,1621248
36992,NULL,5778176
37069,NULL,3709184
15475,NULL,303872
8452,EG02,7079168
20858,NULL,0
13272,EE02,123904
3249,EE01,594944
2586,NULL,33792
1257,NULL,5048064
16014,NULL,0
16086,FI01,1830144
15527,FI03,188672
12582,FI05,29696
3336,FI02,0
1759,FI05,3415040
790,FI02,795392
719,FI02,2878080
5515,FI05,0
3215,FR02,20037376
5410,FR01,7095552
6678,FR05,0
8228,FR06,1901056
9003,FR05,84224
12322,FR03,11116544
12626,FR06,124416
12670,FR05,678656
12844,NULL,0
15557,FR06,11629056
21502,FR05,1632448
25186,FR02,4096
28708,FR02,67072
3209,DE01,8572416
3320,DE02,34184960
5430,DE11,1246720
6805,DE10,7817728
8881,DE13,1371392
12638,NULL,574464
13184,DE10,0
15709,DE01,0
20825,DE12,0
29562,DE12,832512
31334,DE01,1983488
39706,DE10,16384
44178,DE02,0
25472,GR03,337920
29247,NULL,377088
6983,NULL,3457536
34248,NULL,17408
12361,NULL,91648
6866,GR05,793856
6799,GR02,1817600
3329,GR04,757760
1241,GR01,612352
38819,NULL,45056
17924,NULL,463872
17444,NULL,239872
10118,HK02,46080
9925,HK04,90368
9908,HK03,589824
9444,HK04,34048
9304,HK02,1521152
9269,HK01,1525249
9231,NULL,16896
4760,HK04,1762048
4515,HK04,781312
34588,HU03,0
197248,NULL,69632
21334,NULL,185344
20845,HU06,290816
12301,HU03,692992
8448,NULL,430080
8358,HU02,0
6830,HU05,11363072
5513,NULL,16384
5483,HU04,1389824
3340,HU02,0
8696,HU03,0
12969,IS02,303616
4755,IN06,1724688
9498,IN02,1610839
9583,NULL,545792
9829,IN01,6126848
10199,IN06,233472
10201,NULL,189440
17762,IN09,156672
17803,NULL,46848
17813,IN03,1524224
17908,IN06,530688
17917,IN07,167424
18101,IN04,505344
24560,IN02,2462976
38266,NULL,654592
45271,NULL,597248
45609,NULL,3543552
55441,IN09,554496
55740,NULL,2816
55831,NULL,0
131222,IN08,0
23693,NULL,5786368
23700,ID01,774656
24203,NULL,48896
38149,ID04,768
45727,NULL,33280
18004,NULL,57600
17974,ID02,3972352
4795,ID03,925696
4761,NULL,2413056
2110,NULL,437760
25441,IE04,420608
31122,IE02,165632
31458,IE02,0
34245,IE05,125952
35272,IE04,0
21327,NULL,0
15751,NULL,25344
15502,IE09,439296
13280,NULL,66560
6830,IE08,11363072
5466,IE03,1111552
12400,NULL,693504
9117,NULL,0
9116,IL03,1467452
8551,IL01,1546240
1680,IL04,1663488
24608,NULL,2171904
30722,IT05,5117184
35612,NULL,295936
44957,IT05,98560
20959,IT02,1310720
16232,NULL,1777664
12874,IT01,3641088
8968,NULL,890880
8612,IT03,1431296
3269,IT02,19437070
1267,IT04,6102528
2497,JP03,3790080
2514,JP06,1871872
2516,JP05,18765312
4716,JP05,0
4725,JP07,2219520
4732,JP05,0
9597,JP05,276736
9609,JP02,0
17676,JP07,44921600
17697,JP06,0
24572,JP07,119808
23816,JP07,67584
37903,NULL,1491968
44290,JO03,0
48832,NULL,67584
9038,JO02,93184
