a,0.012937805,,X,Y
b,0.012937805,,0.482,0.024775556
,,,0.639,0.000756425
,,,0.824,0.000887767
,,,0.671,0.000321956
,,,0.579,0.025085305
,,,0.593,0.010286198
,,,0.592,0.002301961
,,,0.818,0.000784744
,,,0.624,0.000385299
,,,0.624,0.005030535
,,,0.824,0.002854631
,,,0.569,0.006126469
,,,0.487,0.00384801
,,,0.609,0.007050368
,,,0.679,0.00078606
,,,0.617,0.000303227
,,,0.846,0.000417334
,,,0.772,0.002480817
,,,0.519,0.002240734
,,,0.741,0.000183377
,,,0.819,0.001115721
,,,0.519,0.001309755
,,,0.783,0.005021909
,,,0.59,0.00487174
,,,0.639,0.003290455
,,,0.424,0.007509646
,,,0.675,0.002765318
,,,0.691,0.005983893
,,,0.683,0.00591669
,,,0.626,0.002374785
,,,0.786,0.001233491
,,,0.782,0.001802661
,,,0.352,0.006870289
,,,0.504,0.001813194
,,,0.602,0.000470066
,,,0.688,0.006015523
,,,0.541,0.001389187
,,,0.399,0.00508097
,,,0.66,0.02382554
,,,0.893,0.00184955
,,,0.76,0.000279118
,,,0.786,0.000359704
,,,0.718,0.001425101
,,,0.374,0.004119974
,,,0.594,0.003841221
,,,0.447,0.002942186
,,,0.609,0.004942868
,,,0.508,0.002636222
,,,0.585,0.02553443
,,,0.311,0.007885287
,,,0.788,0.042108071
,,,0.569,0.002482658
,,,0.639,0.000640201
,,,0.343,0.000912462
,,,0.683,0.01693139
,,,0.581,0.021988235
,,,0.501,0.005471305
,,,0.919,0.000303011
,,,0.245,0.027903281
,,,0.502,0.001360512
