op,name,size,GNI_pc_2017
AR01,Cablevision (FiberTel),3884800,13040
AR02,Multicanal (Flash),0,13040
AR03,Telecom Argentina,3910656,13040
AR04,Telefonica de Argentina,4122368,13040
AR05,Telmex Argentina (Claro),1740800,13040
AT01,Tele2 Austria,5453312,45440
AT02,A1 Telekom Austria,2908416,45440
AT03,UPC Austria (UPC Telekabel),11363072,45440
AU02,iiNet (inc. Internode and Adam Internet),2982912,51360
AU05,M2 Telecommunications (inc. iPrimus and Dodo),1629440,51360
AU06,SingTel Optus,6413056,51360
AU07,Telstra,13659260,51360
AU08,TPG Telecom,2003968,51360
BE01,Proximus (Belgacom),3927808,41790
BE02,Mobistar,890368,41790
BE03,BASE Company (formerly KPN Belgium),5184256,41790
BE04,Telenet (incl UPC Belgium),13465856,41790
BG01,Blizoo (formerly CableTel-Eurocom) (Bulgaria),408576,7760
BG02,Max (Bulgaria),9984,7760
BG03,MobilTel (M-Tel),597777,7760
BG04,Nexcom Bulgaria,0,7760
BG05,"Vivacom (Bulgarian Telecommunications Company, BTC)",677377,7760
BG06,Bulsatcom,251648,7760
BR01,"Oi SA (incl. Telemar Norte Leste, Brasil Telecom)",12171264,8580
BR02,Algar Telecom (formerly CTBC),1052672,8580
BR03,Global Village Telecom (GVT),4562944,8580
BR05,Claro Brasil (incl. Embratel & NET Servicos),14931712,8580
BR06,Telefonica Brasil (Vivo),6401792,8580
BR12,TIM Participacoes (TIM Brasil),540672,8580
BR13,Copel Telecom,0,8580
BY01,Alternative Digital Network (incl. Atlant Telecom),60160,5280
BY02,Beltelecom,1069312,5280
BY03,Cosmos TV,0,5280
CA01,Bell Aliant,1293312,42870
CA02,Bell Canada,6521634,42870
CA03,Cogeco Cable,1039872,42870
CA04,Manitoba Telecom Services (MTS Allstream),1200128,42870
CA05,Rogers Communications,4541184,42870
CA06,SaskTel,594184,42870
CA07,Shaw Communications,5498112,42870
CA08,Telus Communications,5020672,42870
CA09,Videotron,2640128,42870
CA10,Eastlink,322560,42870
CA11,Xplornet Communications,315648,42870
CH01,Cablecom (UPC Switzerland),11363072,80560
CH02,Sunrise (formerly TDC Switzerland),878336,80560
CH03,Swisscom,3533824,80560
CH05,Quickline Media (inc. Finecom),0,80560
CL01,Entel Chile,0,13610
CL02,Grupo GTD (inc Telsur),1002496,13610
CL03,Telefonica Chile (Movistar),2877184,13610
CL05,VTR,1378816,13610
CL06,Claro Chile,1003264,13610
CN02,China Telecom Corporation,127635200,8690
CN03,"China Tietong (CTT, China Railcom [CRC])",20376320,8690
CN04,China Unicom,71734272,8690
CN05,Dr Peng Telecom (Inc. Great Wall Broadband Network (GWBN),1128448,8690
CO01,Empresa de Telecomunicaciones de Bogota (ETB),887552,5830
CO02,Movistar Colombia,2242816,5830
CO03,"Claro Colombia (previously Comcel, Telmex Colombia)",3003648,5830
CO04,Une-EPM,3055616,5830
CY01,Cyprus Telecommunications Authority (Cyta),793856,23720
CY02,PrimeTel (Cyprus),71936,23720
CY03,Cablenet (Cyprus),95744,23720
CY04,MTN Cyprus (formerly Areeba),0,23720
CZ01,GTS Czech,1374213,18160
CZ02,O2 Czech Republic,1729024,18160
CZ03,Dial Telecom (includes Volny),263424,18160
CZ04,UPC Ceska Republika,11363072,18160
CZ05,T-Mobile Czech Republic,319488,18160
CZ06,Vodafone Czech Republic,0,18160
DE01,Vodafone Germany,10555904,43490
DE02,Telekom Deutschland,34184960,43490
DE07,NetCologne,563712,43490
DE08,PrimaCom (Germany),123904,43490
DE09,Tele2 (Germany),5048064,43490
DE10,Telefonica Germany (O2),7834112,43490
DE11,United Internet (1&1),1246720,43490
DE12,Unitymedia KabelBW,832512,43490
DE13,Versatel Communications,1371392,43490
DK01,TDC,8261632,55220
DK02,"Telenor Denmark (incl. Tele2, Sonofon & Cybercity)",7364608,55220
DK03,Telia Denmark (incl. Call Me & DLG Tele),271104,55220
DK04,Stofa,262144,55220
EE01,Eesti Telekom (incl. EMT and Elion),594944,18190
EE02,Starman,123904,18190
EE03,STV Cable,0,18190
EG01,LINKdotNET (Egypt),1621248,3010
EG02,TE Data,7079168,3010
EG03,Vodafone Egypt,3352064,3010
ES01,Euskaltel,490496,18190
ES02,Grupo Corporativo ONO,3098880,18190
ES03,Jazz Telecom (Jazztel),4608,18190
ES04,Orange Espana,6699264,18190
ES05,Telefonica Espana (Movistar),10597376,18190
ES06,Vodafone Spain,4000528,18190
FI01,DNA Finland,8740864,44580
FI02,Elisa Corporation,3730816,44580
FI03,Finnet,356864,44580
FI05,TeliaSonera Finland,3444736,44580
FR01,Bouygues Telecom,7095552,37970
FR02,Orange France,20108544,37970
FR03,Iliad (Free),11116544,37970
FR05,Numericable-Completel,2395840,37970
FR06,SFR,13777408,37970
GB01,BSkyB (incl. Easynet and UK Online),9178112,40530
GB02,BT Group,11212544,40530
GB04,TalkTalk (incl. Tiscali UK),9687808,40530
GB05,KCOM Group,1112322,40530
GB07,EE (incl. Orange UK and T-Mobile UK),0,40530
GB09,Virgin Media,9473536,40530
GB10,Vodafone UK,0,40530
GR01,ForthNet,612352,18090
GR02,OTE (Hellenic Telecommunications Organisation),1817600,18090
GR03,Wind Hellas (incl. Tellas),337920,18090
GR04,Hellas Online,757760,18090
GR05,Cyta Hellas,793856,18090
HR03,Optima Telekom,93184,12430
HR04,T-Hrvatski Telekom (incl. T-Mobile),1261568,12430
HR05,VIPnet,163840,12430
HU02,GTS Hungary,1368837,12870
HU03,Invitel Holdings (formerly HTCC),692992,12870
HU04,Magyar Telekom (MTel),1389824,12870
HU05,UPC Hungary,11363072,12870
HU06,DIGI Telecommunications (incl TvNetWork),290816,12870
ID01,First Media,774656,3540
ID02,Telkom Indonesia,3972352,3540
ID03,Indosat,925696,3540
ID04,Bakrie Telecom,768,3540
ID05,Internux (Bolt!),0,3540
IE02,Digiweb,165632,55290
IE03,Eircom,1111552,55290
IE04,Imagine Communications,420608,55290
IE05,Magnet Networks,125952,55290
IE08,UPC Ireland,20836608,55290
IE09,Vodafone Ireland,439296,55290
IE10,Sky Ireland,0,55290
IL01,Bezeq (Israel Telecommunication Corporation),1546240,37270
IL02,HOT Telecommunication Systems,0,37270
IL03,012 Smile Telecom,1469500,37270
IL04,NetVision (inc. Barak),1663488,37270
IN01,Bharat Sanchar Nigam Ltd (BSNL),6126848,1820
IN02,Bharti Airtel,4073815,1820
IN03,Mahanagar Telephone Nigam Ltd (MTNL),1524224,1820
IN04,Reliance Communications (RCOM),505344,1820
IN06,Tata Communications,2609424,1820
IN07,Quadrant Televentures (formerly HFCL Infotel),167424,1820
IN08,"Sistema Shyam TeleServices (SSTL, MTS India)",0,1820
IN09,"Tata Teleservices (TTSL, inc. TTML and Tata DOCOMO)",711168,1820
IS01,Siminn (Iceland Telecom),143616,60830
IS02,Vodafone Iceland (Fjarskipti),303616,60830
IS03,Hringdu,15360,60830
IS04,Tal,0,60830
IT01,FastWeb,3641088,31020
IT02,Telecom Italia,20747790,31020
IT03,Tiscali (Italy),2738433,31020
IT04,Wind Telecomunicazioni (Wind Italy),6102528,31020
IT05,Vodafone Italy,5215744,31020
JP02,Ymobile Corp (previously eAccess),0,38550
JP03,Internet Initiative Japan (IIJ),3790080,38550
JP04,J:COM (Jupiter Telecom),5908480,38550
JP05,KDDI (au),19042048,38550
JP06,NTT (NTT East & NTT West),30837248,38550
JP07,Softbank BB (incl. Yahoo Japan),47328512,38550
JP09,UQ Communications,3674112,38550
KR02,KT Corp,45588768,28380
KR06,SK Broadband (formerly Hanaro Telecom),14659360,28380
KR07,LG Uplus (formerly LG Telecom),20077568,28380
KZ01,KaR-Tel (Beeline),0,7890
KZ02,Kazakhtelecom (KT),1528320,7890
LT01,"Cgates (inc. VDNET, MVTV)",179712,15200
LT02,Lithuanian Radio and Television Centre (MEZON),250880,15200
LT04,TEO LT,772608,15200
LT05,Balticum (Lithuania),65280,15200
LU01,Post Luxembourg (formerly P&T Luxembourg),212736,70260
LU02,Orange Luxembourg,0,70260
LV01,Baltcom (formerly Baltkom),281600,14740
LV02,IZZI,0,14740
LV03,Lattelecom Group,499712,14740
LV05,Unistars (Wireless Broadband),0,14740
MA01,Maroc Telecom,8350208,4880
MA02,Inwi (Wana),0,4880
MT01,GO (formerly Maltacom),201984,23810
MT02,Melita,290048,23810
MT03,Vodafone Malta,0,23810
MX01,Axtel,1819648,8610
MX02,Cablemas (Mexico),679168,8610
MX03,Izzi Telecom (formerly Cablevision),585216,8610
MX04,Megacable (Mexico),2360320,8610
MX05,Telmex (Telefonos de Mexico),13539360,8610
MX06,Maxcom,0,8610
MY01,Maxis,0,9650
MY02,Packet One Networks (P1) (Malaysia),270336,9650
MY03,Telekom Malaysia,3003904,9650
MY04,YTL Communications (Y-Max Networks/YES),0,9650
NL02,CAIW (Caiway),229376,46180
NL03,KPN Telecom (or Royal KPN),1801728,46180
NL04,Tele2 NL,6849792,46180
NL05,UPC Netherlands,11363072,46180
NL06,Zesko Holding (Ziggo),0,46180
NL07,Euronet (trading as Online NL),434176,46180
NL08,Vodafone Netherlands,0,46180
NO01,Get,11942144,75990
NO02,NextGenTel,483840,75990
NO04,Telenor Norge,6844176,75990
NO06,Broadnet (HomeNet),1556224,75990
NO07,Telio Norway,0,75990
NO08,Altibox (inc. Lyse Tele),1030144,75990
NZ01,Spark (formerly Telecom New Zealand),1291008,38970
NZ03,Vodafone New Zealand (incl TelstraClear),335872,38970
NZ05,CallPlus (inc. Slingshot),408064,38970
NZ06,Orcon,0,38970
PE01,"Movistar Peru (formerly Telefonica del Peru, TDP)",1545984,5970
PE02,Claro Peru,648192,5970
PE03,Americatel Peru,135936,5970
PE04,Olo Peru,0,5970
