country,ips
US,1220338410
CN,338199611
JP,206066287
GB,123269598
DE,123058389
KR,112574647
BR,84134964
FR,82982194
CA,69944236
IT,54399039
NL,50722169
AU,50553246
RU,45266635
IN,43215257
TW,35427126
ES,34038859
ZA,31046951
MX,29122917
SE,28125740
EG,22195001
PL,21501514
CH,20051485
AR,19148304
ID,18169343
CO,17433017
TR,16433760
VN,15908799
NO,15576601
HK,14609104
FI,13598901
DK,13073828
IR,12592786
BE,11929954
UA,11756338
AT,11053350
IE,11030956
MA,10364356
CL,10044577
SG,9432449
TH,9287274
SA,9151926
CZ,8832765
RO,8548844
IL,8233051
NZ,7227575
VE,6806360
PT,6711243
MY,6611492
HU,5910007
GR,5812505
PH,5567152
TN,5537779
KE,5463436
PK,5385599
DZ,4803561
BG,4368392
AE,4029409
PE,3240782
LT,3160068
KZ,3124117
SK,2722239
HR,2676147
EC,2673095
SI,2638253
CR,2575967
NG,2560654
UY,2468894
RS,2367872
LV,2046344
KW,1967554
BY,1929928
PA,1830185
GH,1776315
DO,1583833
LU,1582145
EE,1469025
BD,1409582
PR,1372569
MU,1368108
MD,1352592
SD,1305609
AO,1232285
GE,1226855
SY,1202550
BO,1154417
ZM,1148266
PY,1105766
TZ,1090577
OM,926767
UG,915533
CI,912073
IS,904885
CY,899923
QA,859331
BA,830817
SC,791936
AZ,761842
MK,702302
JO,692293
SV,687657
IQ,656683
PS,653560
GT,634539
AM,621618
MT,614803
LB,605624
CM,585449
LK,562971
TT,542656
HN,527886
NP,525543
BH,470372
MZ,469628
NA,468385
NI,439270
GA,427292
MW,422970
RE,421620
RW,379989
LY,378651
ET,366099
MO,359379
AL,334248
TG,312108
KH,309711
SN,298748
KG,278024
JM,273365
GM,262723
CU,261712
UZ,260641
GU,233368
MN,229593
AF,213350
BN,208521
CW,191443
ME,187886
KY,187844
ZW,181291
MG,172153
HT,166808
CD,166729
NC,164014
BJ,160115
BS,157016
BB,153240
BF,151715
FJ,148880
BW,146814
YE,142799
MM,133557
BM,129009
LR,125106
GP,120761
BZ,115908
VI,114852
LS,112024
LI,105469
MQ,105049
IM,102612
AW,91855
SR,83389
ML,82300
TJ,80460
JE,79972
LA,76884
GI,73728
DJ,73377
CG,71679
GG,71393
MV,66540
GF,64449
PG,64134
GY,63289
PF,63232
VG,62707
SL,57169
SZ,53704
MC,51081
AG,50599
MR,49662
NE,46625
AD,46383
FO,43348
BI,40013
AX,36502
SM,36312
SX,35972
BT,34423
SO,34288
CV,33923
GN,33631
LC,33508
DM,28452
GD,28250
KN,27790
VC,26931
MF,25767
TD,25536
BQ,24533
GL,23921
WS,23129
TM,22924
GQ,22150
VU,21209
YT,19533
MP,18225
SS,16882
TL,16797
VA,16672
SB,15695
ST,14268
NR,13894
TO,13836
AI,13743
TC,12916
FM,12801
TV,12375
AS,11774
CF,11699
GW,10399
KM,10227
PW,10171
KI,9260
MH,8768
KP,8711
ER,8352
CK,8291
PM,4076
IO,3625
WF,3592
TK,3105
MS,2831
BL,2350
FK,2061
NU,2050
NF,2049
AQ,1708
UM,763
SJ,339
BV,147
EH,123
CC,109
GS,77
SH,31
PN,5
TF,0
